"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.922083320E-3,-3.541635132E0,4.041146393E0,6.954537964E0,8.788608642E0
1.194108336E-2,-3.284320221E0,3.496129761E0,6.818770294E0,8.336984523E0
2.196008340E-2,-3.278033295E0,3.237168274E0,6.902296600E0,8.298581751E0
3.197908332E-2,-3.215014343E0,3.208727417E0,7.261399841E0,8.565055547E0
4.199808335E-2,-2.826871490E0,3.057691498E0,7.927065582E0,8.954275429E0
5.201708339E-2,-2.586920471E0,2.792892151E0,8.661139069E0,9.460852713E0
6.203608331E-2,-2.593955841E0,2.663261719E0,9.310339050E0,1.002516749E1
7.205508335E-2,-2.439177704E0,2.648891602E0,9.613309021E0,1.026556988E1
8.207408339E-2,-2.224374390E0,2.828069000E0,9.316027222E0,9.986700100E0
9.209308331E-2,-2.098486176E0,3.039728851E0,8.365803223E0,9.144958134E0
1.021120833E-1,-2.112257538E0,3.188220062E0,7.169490967E0,8.125760259E0
1.121310834E-1,-2.242337036E0,3.350482635E0,6.480324097E0,7.632064575E0
1.221510833E-1,-2.654430084E0,3.409459991E0,7.058721313E0,8.276228796E0
1.321700834E-1,-3.344195709E0,3.342100067E0,8.763975220E0,9.957938514E0
1.421890834E-1,-4.214934998E0,2.959795074E0,1.119551880E1,1.232338042E1
1.522080833E-1,-4.755910034E0,2.492167511E0,1.472278381E1,1.567130953E1
1.622270833E-1,-4.199666748E0,2.561323700E0,1.918665115E1,1.980719976E1
1.722460834E-1,-2.417921906E0,3.503314819E0,2.299263657E1,2.338334658E1
1.822650833E-1,4.090992737E-1,4.757107544E0,2.569182358E1,2.613172848E1
1.922840833E-1,2.326162720E-1,5.037175140E0,2.609343842E1,2.657620688E1
2.023030834E-1,-1.307381287E0,1.829196167E0,2.266212387E1,2.277338497E1
2.123220833E-1,1.235830078E0,-1.774709473E0,1.925236450E1,1.937344597E1
2.223410833E-1,1.404080200E0,-2.197580109E0,1.871378448E1,1.889461641E1
2.323600834E-1,5.792953491E-2,-2.286644897E0,1.805350754E1,1.819783600E1
2.423790833E-1,-5.629792786E-1,-1.820963287E0,1.658461212E1,1.669377765E1
2.523990833E-1,-5.948629761E-1,-1.138682098E0,1.473924957E1,1.479513220E1
2.624180834E-1,-1.044827271E0,-6.770420837E-1,1.414094376E1,1.419564512E1
2.724370833E-1,-1.721569977E0,-9.003776550E-1,1.572195602E1,1.584153983E1
2.824560833E-1,-3.139720917E0,-1.386416931E0,1.685345306E1,1.719938602E1
2.924750834E-1,-4.669988708E0,-1.691033478E0,1.592194016E1,1.667862605E1
3.024940833E-1,-5.248086548E0,-1.563348999E0,1.460872101E1,1.560132052E1
3.125130833E-1,-4.647385712E0,-1.416803741E0,1.428763870E1,1.509112807E1
3.225319583E-1,-3.515738983E0,-8.292755127E-1,1.346165634E1,1.393787322E1
3.325509584E-1,-1.113684082E0,-1.898352356E0,1.128473328E1,1.149735791E1
3.425699583E-1,1.014739838E0,-4.062252502E0,9.417665863E0,1.030650390E1
3.525889583E-1,9.512718201E-1,-3.913012848E0,8.791817322E0,9.670193351E0
3.626079584E-1,-7.831713867E-1,-7.490423584E-1,6.870263214E0,6.955209451E0
3.726279583E-1,-2.398013306E-1,2.719844055E-1,3.974534912E0,3.991040962E0
3.826469583E-1,1.206491089E0,2.971321106E-1,1.692680054E0,2.099779513E0
3.926659584E-1,1.168769531E0,6.496490479E-1,6.176156616E-1,1.472927428E0
4.026849583E-1,2.285746765E-1,2.005828857E-2,5.897735596E-1,6.328361314E-1
4.127039583E-1,7.325765991E-1,2.034269714E-1,3.418291626E0,3.501823617E0
4.227229584E-1,2.077080688E0,1.634900208E0,6.268963623E0,6.803459986E0
4.327419583E-1,2.680326233E0,1.526375885E0,4.703369293E0,5.624558184E0
4.427609583E-1,9.776170349E-1,6.535409546E-1,1.036295013E0,1.567404926E0
4.527799584E-1,-1.746867371E-1,-2.935395813E-1,-2.291734314E-1,4.113409821E-1
4.627989583E-1,-5.897735596E-2,-2.561174011E-1,-1.496887207E-4,2.628202315E-1
4.728179583E-1,-5.598358154E-2,-2.327659607E-1,-2.035766602E-2,2.402677432E-1
4.828369584E-1,-6.406677246E-2,-2.433938599E-1,-7.035369873E-3,2.517828802E-1
4.928559583E-1,-6.661148071E-2,-2.408491516E-1,1.167572021E-2,2.501633979E-1
5.028759583E-1,-5.568420410E-2,-3.019221497E-1,4.113446045E-1,5.132855917E-1
5.128949584E-1,9.011260986E-2,-6.197113037E-1,5.154082031E0,5.191986515E0
5.229139583E-1,-5.004093933E-1,-5.755531311E-1,3.192261658E0,3.282103816E0
5.329329583E-1,-1.562151489E0,-8.647517395E-1,6.769522705E0,7.001039244E0
5.429519584E-1,-8.768765259E-1,-3.667373657E-2,8.455317078E0,8.500743749E0
5.529709583E-1,2.442620544E0,-4.722679138E-1,8.061486053E0,8.436645631E0
5.629899583E-1,4.773423615E0,-3.094365234E0,6.474785614E0,8.618788659E0
5.730089584E-1,2.888393555E0,-4.675826569E0,6.146817627E0,8.245576897E0
5.830279583E-1,2.256707153E0,-5.121000824E0,5.298381958E0,7.706505563E0
5.930469583E-1,3.390898590E0,-5.517825623E0,4.040547638E0,7.633519376E0
6.030659584E-1,3.319796448E0,-6.143973541E0,3.603157196E0,7.858256875E0
6.130849583E-1,2.343975677E0,-6.534810791E0,4.737797699E0,8.405040219E0
6.231039583E-1,1.391206970E0,-5.457351379E0,6.838229828E0,8.858867201E0
6.331229584E-1,1.800904999E0,-1.743574219E0,9.273964691E0,9.606754445E0
6.431429583E-1,6.061195679E0,3.715723114E0,9.989776154E0,1.226133430E1
6.531619583E-1,1.082653610E1,6.474935303E0,7.755073242E0,1.480810022E1
6.631809584E-1,1.425321030E1,1.020562729E1,1.203512283E1,2.126388990E1
6.731999583E-1,1.397853149E1,1.375833939E1,1.623643616E1,2.546199333E1
6.832189583E-1,1.190339676E1,1.564292038E1,1.674403061E1,2.582158735E1
6.932379584E-1,8.554411011E0,1.640618317E1,1.581730774E1,2.434189840E1
7.032569584E-1,4.495900726E0,1.756866577E1,1.444541061E1,2.318493106E1
7.132759583E-1,2.350112915E-2,1.974214600E1,1.141346558E1,2.280394872E1
7.232949584E-1,-1.394500122E0,2.119382721E1,9.875413971E0,2.342320950E1
7.333139584E-1,-1.356928253E0,2.083831650E1,1.013332764E1,2.321122611E1
7.433329583E-1,-5.697152710E-1,1.820065155E1,9.516460419E0,2.054632111E1
7.533519584E-1,-6.342311096E-1,1.380549133E1,7.870632935E0,1.590410962E1
7.633709584E-1,-1.255888367E0,8.741372223E0,5.442532196E0,1.037352402E1
7.733909583E-1,-1.295106812E0,4.207300873E0,3.035238190E0,5.347088288E0
