Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
9.89167E-05,-0.927621002,-0.074694672,9.587113495,9.632175517
0.010148917,-0.953217773,-0.05852829,9.781259766,9.827771481
0.020199917,-0.923130341,-0.095351715,9.822274475,9.866019331
0.030249917,-0.932860107,-0.139509888,9.726024628,9.771655236
0.040299917,-0.943338318,-0.189206543,9.58890976,9.63705747
0.050349917,-0.881965942,-0.168699188,9.486822052,9.529224312
0.060399917,-0.83900528,-0.123044128,9.465715942,9.503622889
0.070449917,-0.836909637,-0.09131012,9.488468628,9.525743655
0.080499917,-0.887953491,-0.080981598,9.535171509,9.576769556
0.090549917,-0.931063843,-0.073646851,9.607022095,9.652314607
0.100600917,-0.917442169,-0.070353699,9.689799957,9.733389594
0.110650917,-0.927770691,-0.082328796,9.788295135,9.832510267
0.120700917,-0.983305206,-0.088765411,9.899214478,9.948327281
0.130750917,-0.949176178,-0.096549225,9.989177399,10.03463613
0.140800917,-0.897533569,-0.110170898,10.02525238,10.06595199
0.150850917,-0.899030457,-0.154927826,10.01387604,10.05534543
0.160900917,-0.882564697,-0.21644989,9.965825958,10.00717033
0.170950917,-0.86355423,-0.277822266,9.848919067,9.89060756
0.181001917,-0.910257111,-0.275277557,9.617949371,9.664848465
0.191051917,-1.003662872,-0.156424713,9.572444,9.626187822
0.201102083,-1.009650421,-0.042810974,9.621841278,9.67476389
0.211152083,-0.952918396,-0.054786072,9.532028046,9.579697993
0.221202083,-0.94663147,-0.207318878,9.401499481,9.451311272
0.231252083,-0.888252869,-0.322429504,9.384884033,9.432338112
0.241302083,-0.792452087,-0.373772736,9.495354309,9.535692939
0.251352083,-0.616418152,-0.341739349,9.627978516,9.653741628
0.261403083,-0.401165771,-0.336649933,9.639354858,9.653570803
0.271453083,-0.161364441,-0.271235962,9.843230896,9.848289288
0.281503083,0.019160156,-0.272882538,10.07734406,10.08105625
0.291553083,-0.020357666,-0.344733124,10.16102005,10.16688663
0.301603083,-0.002844086,-0.375419312,10.23541534,10.24229833
0.311653083,0.044307861,-0.422122192,10.27134064,10.28010646
0.321703083,0.01047821,-0.511186981,10.24978546,10.26253009
0.331753083,-0.015867004,-0.608784027,10.24694138,10.26502203
0.341804083,-0.045505371,-0.726289673,10.13123199,10.15733376
0.351854083,-0.051642609,-0.859512634,9.965825958,10.00295536
0.361904083,-0.060474243,-1.067879333,9.919422455,9.976921632
0.371954083,-0.091459808,-1.288071442,9.921518097,10.00519936
0.382004083,-0.108075256,-1.535656586,9.670340424,9.79210934
0.392054083,-0.233364716,-1.778152313,9.362281036,9.53250182
0.402104083,-0.338595886,-1.924547882,9.198521576,9.403793432
0.412154083,-0.426912231,-1.976489868,9.275162201,9.493018493
0.422205083,-0.398022308,-1.872605896,9.513017578,9.703740415
0.432255083,-0.486488342,-1.709295502,9.769284668,9.929616556
0.442305083,-0.239501953,-1.521735535,10.03947281,10.15697073
0.452355083,0.116457825,-1.14077774,10.22688309,10.29097051
0.462405083,0.063767395,-0.873134308,10.28301636,10.32021585
0.472455083,-0.171243896,-0.666563873,10.14620087,10.16951444
0.482505083,-0.5932164,-0.568368073,9.838440857,9.87268284
0.492555083,-1.037791901,-0.539627838,9.456435242,9.528503435
0.502606083,-1.500479736,-0.522563324,9.130413208,9.267629536
0.512656083,-1.67441803,-0.494122467,8.871152344,9.041303925
0.522706083,-1.284179535,-0.23171814,8.743767242,8.840603823
0.532756083,-1.019380188,0.067359924,8.816066895,8.87506106
0.542806083,-0.745599518,0.274379425,8.952133942,8.987319112
0.552856083,-0.581690369,0.379909973,9.110055542,9.136509577
0.562906083,-0.561033325,0.3556604,9.34776123,9.371333562
0.572956083,-0.641865234,0.264499969,9.595046997,9.620128798
0.583007083,-0.744102631,0.13217514,9.784852295,9.813994774
0.593057083,-0.870439911,-0.057929535,9.896520081,9.934894623
0.603107083,-0.973874817,-0.307909698,9.941875763,9.994205032
0.613157083,-0.920286255,-0.511935425,9.92930191,9.984990791
0.623207083,-0.810265045,-0.693507843,9.877359924,9.934773357
0.633257083,-0.722248077,-0.857866058,9.882449341,9.945872583
0.643307083,-0.616418152,-0.963097229,9.864337006,9.93039134
0.653357083,-0.546064453,-1.043031006,9.805659027,9.876084701
0.663408083,-0.51253418,-1.102008362,9.804910583,9.879948647
0.673458083,-0.412093048,-1.084494781,9.798473969,9.866916526
0.683508083,-0.282761993,-0.96414505,9.874216461,9.925204318
0.693558083,-0.128582611,-0.892593842,9.962832184,10.00356348
0.703608083,-0.00703537,-0.919537811,10.11147308,10.15320084
0.713658083,0.049846344,-1.024020538,10.21490799,10.26622852
0.723708083,-0.018561401,-1.141675873,10.16655853,10.23047803
0.733758083,-0.130528564,-1.24032074,10.00983444,10.08723048
0.743809083,-0.254770203,-1.289718018,9.849517822,9.936864785
0.753859083,-0.301772461,-1.279838562,9.743388519,9.831717714
0.763909083,-0.367336121,-1.185085602,9.69069809,9.769800058
0.773959083,-0.43649231,-1.058149567,9.720486145,9.787648182
0.784009083,-0.31823822,-0.953068085,9.737850037,9.789552476
0.794059083,-0.346679077,-0.927022247,9.799821167,9.849672661
0.804109083,-0.67509613,-1.013542328,9.876761169,9.951554353
0.814159083,-0.502505035,-1.104104004,9.961634674,10.03522408
0.824210083,-0.048199768,-0.845591583,10.0183667,10.05410462
0.834260083,-0.006735992,-0.760718079,10.14260834,10.17109833
0.844310083,-0.192050629,-0.908909912,10.10353958,10.14615754
0.854360083,-0.46687912,-1.045875092,10.04052063,10.10563632
0.864410083,-0.556842041,-1.051114197,10.00549347,10.07595225
0.874460083,-0.472417603,-1.016236725,9.855954437,9.91946336
0.884510083,-0.315693512,-0.978066101,9.661808167,9.71631683
0.894560083,-0.186961212,-0.990939331,9.516909485,9.570187114
0.904611083,-0.12289444,-0.981059875,9.407037964,9.458855363
0.914661083,-0.179626465,-0.958157501,9.344917145,9.395627063
0.924711083,-0.204923859,-0.934207306,9.222322083,9.27178309
0.934761083,-0.14160553,-0.877026215,9.144034882,9.187088822
0.944811083,-0.084873505,-0.90097641,9.179960175,9.224458294
0.954861083,-0.073497162,-0.966689758,9.301507416,9.351894521
0.964911083,-0.131426697,-0.993334351,9.383237457,9.436584726
0.974961083,-0.241747284,-0.965941315,9.575437775,9.62707084
0.985012083,-0.37437149,-0.890947266,9.817185059,9.864637019
0.995062083,-0.520916748,-0.787811737,10.01582199,10.06025307
1.005112083,-0.596210175,-0.692609711,10.14934433,10.19040554
1.015162083,-0.614172821,-0.605640564,10.17568954,10.21218226
1.025212083,-0.55818924,-0.591719513,10.13602203,10.16861101
1.035262083,-0.506846008,-0.653690643,10.09366013,10.12749619
1.045312083,-0.417781219,-0.769699402,9.994266815,10.03256435
1.055362083,-0.295635223,-0.830023956,9.910291443,9.949382716
1.065413083,-0.167801056,-0.83421524,9.904004517,9.940491825
1.075463083,-0.130229187,-0.833915863,9.983339539,10.01895422
1.085513083,-0.146096191,-0.849633179,10.1138681,10.15054425
1.095563083,-0.186212769,-0.842298431,10.16476227,10.20130059
1.105613083,-0.255967712,-0.830323334,10.11311966,10.15037662
1.115663083,-0.298778687,-0.80622345,10.02420456,10.06101098
1.125713083,-0.37676651,-0.765957184,9.936037903,9.972637195
1.135763083,-0.48559021,-0.746647339,9.882149963,9.922205803
1.145814083,-0.579894104,-0.734223175,9.864486694,9.908756662
1.155864083,-0.611328735,-0.716559906,9.84158432,9.88655465
1.165914083,-0.602347412,-0.742755432,9.834848328,9.881232194
1.175964083,-0.578846283,-0.771795044,9.80416214,9.851513887
1.186014083,-0.536634064,-0.828078003,9.760003967,9.80975875
1.196064083,-0.454754333,-0.897383881,9.660311279,9.712554419
1.206114167,-0.323028259,-0.941242676,9.545649719,9.597380559
1.216164167,-0.368982697,-1.044527893,9.557175751,9.621163915
1.226215167,-0.612526245,-1.263821869,9.605525208,9.707654126
1.236265167,-0.047002258,-1.162931671,9.635762329,9.705799037
1.246315167,0.16735199,-0.867446136,9.737550659,9.777543778
1.256365167,0.165705414,-0.778980103,9.693542175,9.726203174
1.266415167,0.029338989,-0.742755432,9.655072174,9.683644205
1.276465167,-0.073497162,-0.719104614,9.525441742,9.552829615
1.286515167,-0.06556366,-0.679886169,9.371412048,9.39627094
1.296565167,-0.031434631,-0.621956635,9.305848389,9.326662448
1.306615167,-0.059426422,-0.608634338,9.292376404,9.312476925
1.316666167,-0.113164673,-0.604143677,9.334588623,9.354803076
1.326716167,-0.194894714,-0.617016907,9.38054306,9.402833718
1.336766167,-0.248483276,-0.634081421,9.412576447,9.437181706
1.346816167,-0.24219635,-0.643811188,9.396410065,9.421553695
1.356866167,-0.195643158,-0.632584534,9.352850647,9.376260164
1.366916167,-0.152383118,-0.623303833,9.328900452,9.350941766
1.376966167,-0.115410004,-0.63423111,9.325906677,9.348160457
1.387016167,-0.118703156,-0.62135788,9.390721893,9.412004767
1.397067167,-0.181722107,-0.618064728,9.520801392,9.542572298
1.407117167,-0.262554016,-0.628542938,9.697284393,9.721179221
1.417167167,-0.361348572,-0.67509613,9.835447083,9.865208913
1.427217167,-0.224982147,-0.702788544,9.862840118,9.89040666
1.437267167,-0.60025177,-0.902323608,9.992320862,10.05091868
1.447317167,-0.677640839,-1.019529877,10.17015106,10.24356436
1.457367167,-0.569565582,-0.988993378,10.30756531,10.37055521
1.467417167,-0.482746124,-0.979562988,10.43255539,10.48955668
1.477468167,-0.481997681,-1.006656647,10.4880899,10.54730815
1.487518167,-0.509540405,-1.080752563,10.43974045,10.50789409
1.497568167,-0.522114258,-1.186732178,10.23152344,10.31334128
1.507618167,-0.576600952,-1.299447784,9.962981873,10.0638979
1.517668167,-0.632135468,-1.39000946,9.689201202,9.808788992
1.527718167,-0.566571808,-1.414708099,9.543703766,9.664609883
1.537768167,-0.385448456,-1.406175842,9.485774231,9.597177386
1.547818167,-0.212408295,-1.400188293,9.374106445,9.480480799
1.557869167,-0.045954437,-1.404529266,9.302854614,9.408396157
1.567919167,0.144599304,-1.378034363,9.362879791,9.464851063
1.577969167,0.289348297,-1.306483154,9.468410339,9.562500459
1.588019167,0.388741608,-1.294508057,9.591903534,9.686665296
1.598069167,0.368234253,-1.356628876,9.715995483,9.817158785
1.608119167,0.247136078,-1.464404755,9.778565369,9.890697559
1.618169167,0.085621948,-1.53041748,9.865983582,9.984344786
1.628219167,-0.028141479,-1.48251709,9.973011017,10.08263842
1.638269167,-0.063767395,-1.408271484,10.13362701,10.23121163
1.648320167,-0.060025177,-1.394200745,10.20607635,10.30103846
1.658370167,-0.121098175,-1.410816193,10.19455032,10.29242068
1.668420167,-0.116008759,-1.40527771,10.14515305,10.24267513
1.678470167,-0.093256073,-1.323547668,10.06327332,10.15036674
1.688520167,-0.108524323,-1.260528717,9.983040161,10.06289228
1.698570167,-0.103734283,-1.182091827,9.943522339,10.01407701
1.708620167,-0.191451874,-0.994831238,9.946516113,9.997976085
1.718670167,-0.374072113,-1.081650696,9.992919617,10.05824739
1.728721167,-0.462089081,-1.425485687,9.957593079,10.06971676
1.738771167,-0.312100983,-1.512454834,9.610015869,9.733310416
1.748821167,0.013921051,-1.699865112,9.402397614,9.55483208
1.758871167,0.179626465,-1.624421997,9.153165894,9.297927638
1.768921167,-0.00703537,-1.690135345,9.06230484,9.218566917
1.778971167,-0.132324829,-1.78668457,8.981921997,9.1588577
1.789021167,-0.070353699,-1.750609589,8.65515152,8.83069824
1.799071167,0.272283783,-1.621877289,8.48315918,8.641100281
1.809122167,0.715212708,-1.381028137,8.540639648,8.681088269
1.819172167,0.905467072,-1.306034088,8.522377625,8.669285786
1.829222167,1.473685455,-1.2753479,8.562494202,8.781490081
1.839272167,1.677262115,-1.349294128,8.793613586,9.05325592
1.849322167,1.560355225,-1.524729309,8.771908722,9.039131071
1.859372167,1.837279358,-1.609752502,9.232051849,9.549747636
1.869422167,1.715432739,-1.699865112,9.404942322,9.710056177
1.879472167,1.731599121,-1.776356049,9.695488129,10.00781527
1.889522167,1.614093475,-1.848805389,9.923913116,10.22288759
1.899573167,1.429227905,-1.896556091,10.063423,10.33983075
1.909623167,1.312171326,-1.889221344,10.1577269,10.41491078
1.919673167,1.164578247,-1.887425079,10.1484462,10.38795341
1.929723167,1.003064117,-1.93532547,10.147099,10.3785953
1.939773167,0.950373688,-2.037562866,10.06686584,10.31487569
1.949823167,0.949026489,-2.095342712,9.923014984,10.18613463
1.959873167,0.992735596,-2.099983063,9.840536499,10.11096491
1.969923167,1.098415833,-2.055974579,9.733209686,10.00844242
1.979974167,1.325493622,-1.987117767,9.587562561,9.880633898
1.990024167,1.598825226,-1.89550827,9.375753021,9.698140978
