Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.000612167,-0.954265594,-0.317190399,9.925110626,9.975923692
0.010664792,-0.972078552,-0.309256897,10.15802628,10.20911722
0.020716792,-0.916993103,-0.300574951,10.17284546,10.21851292
0.030768792,-0.939147034,-0.349972229,10.10219238,10.15178648
0.040820792,-1.014290771,-0.368833008,10.02315674,10.0810959
0.050872792,-1.055604858,-0.328566742,9.874964905,9.936658875
0.060924792,-1.039887543,-0.277073822,9.698332214,9.757857539
0.070976792,-1.05425766,-0.231418762,9.586215363,9.646789043
0.081029792,-1.087638245,-0.228724365,9.521100769,9.585751491
0.091081792,-1.054107971,-0.213306427,9.550739136,9.61110094
0.101133792,-0.947529602,-0.206121368,9.566157074,9.615178601
0.111185792,-0.840352478,-0.233514404,9.523196411,9.563053443
0.121237792,-0.773740997,-0.275576935,9.465566254,9.501134789
0.131289792,-0.74530014,-0.241597595,9.52214859,9.554326531
0.141341792,-0.754281464,-0.237855377,9.644144897,9.676520372
0.151393792,-0.747246094,-0.264050903,9.811347198,9.843303991
0.161445792,-0.748144226,-0.287402344,9.792935486,9.82567582
0.171497792,-0.709973602,-0.236807556,9.621392212,9.650457421
0.181549792,-0.627644806,-0.199085999,9.47769104,9.500536863
0.191601792,-0.610580292,-0.220192108,9.425299988,9.447622596
0.201653792,-0.632734222,-0.232316895,9.462871857,9.48684708
0.211705792,-0.677191772,-0.234711914,9.535171509,9.56206955
0.221757792,-0.696651306,-0.239951019,9.544901276,9.573298277
0.231809792,-0.690065002,-0.252375183,9.513316956,9.54164988
0.241861792,-0.647254028,-0.277672577,9.476643219,9.502778885
0.251913792,-0.560883636,-0.304017792,9.430239716,9.45179551
0.261965792,-0.519868927,-0.349523163,9.401798859,9.422645696
0.272017792,-0.51133667,-0.379610596,9.544003143,9.565226887
0.282069792,-0.573158112,-0.417930908,9.767189026,9.792913659
0.292121792,-0.624351654,-0.423020325,9.934091949,9.962677554
0.302173792,-0.634680176,-0.436791687,10.1032402,10.13257462
0.312225792,-0.642164612,-0.449515228,10.18482056,10.21494048
0.322277792,-0.664767609,-0.425415344,10.16895355,10.19953482
0.332329792,-0.672551422,-0.409847717,10.1258432,10.15642659
0.342381792,-0.70323761,-0.398022308,10.09440857,10.12669982
0.352433792,-0.739911346,-0.409698029,10.06866211,10.10412183
0.362485792,-0.731828156,-0.416284332,10.04037094,10.07560984
0.372537792,-0.67629364,-0.406554565,9.989327087,10.02044487
0.382590792,-0.623154144,-0.38380188,9.896071014,9.923096618
0.392642792,-0.628842316,-0.366587677,9.741292877,9.768450036
0.402694792,-0.727337494,-0.375569,9.634864197,9.669574965
0.412746792,-0.813857574,-0.389340363,9.665251007,9.707266716
0.422798792,-0.832568665,-0.385747833,9.798773346,9.841642701
0.432850792,-0.825233917,-0.368383942,9.902657318,9.943809115
0.442902792,-0.834364929,-0.347577209,9.998009033,10.03878276
0.452954792,-0.817749481,-0.307011566,10.0063916,10.0444434
0.463006792,-0.832868042,-0.300574951,9.882898407,9.922484336
0.473058792,-0.843346252,-0.285157013,9.736353149,9.776968859
0.483110792,-0.836161194,-0.265098724,9.62049408,9.66040109
0.493162792,-0.833317108,-0.282612305,9.633666687,9.673769739
0.503214792,-0.794697418,-0.300275574,9.701775055,9.738898738
0.513266792,-0.750688934,-0.288899231,9.713301086,9.746548858
0.523318792,-0.714314575,-0.305065613,9.686656494,9.717747907
0.533370792,-0.62839325,-0.303269348,9.657616882,9.682789589
0.543422792,-0.5733078,-0.311502228,9.725126495,9.746989321
0.553474792,-0.603095856,-0.333656158,9.87436615,9.898391683
0.563526792,-0.598305817,-0.343685303,10.06162674,10.08525766
0.573578792,-0.545465698,-0.340392151,10.15518219,10.17551596
0.583630792,-0.515677643,-0.347726898,10.13033386,10.14940893
0.593682792,-0.416134644,-0.35925293,10.00489471,10.01998747
0.603734792,-0.254171448,-0.350271606,9.867779846,9.877265432
0.613786792,-0.125439148,-0.349074097,9.764494629,9.771537395
0.623838792,-0.042361908,-0.320483551,9.735904083,9.741269556
0.633890792,-0.087118835,-0.29952713,9.735005951,9.740002416
0.643942792,-0.164208527,-0.267044678,9.727521515,9.732571712
0.653994792,-0.230820007,-0.224533081,9.710007935,9.715345957
0.664046792,-0.230670319,-0.182320862,9.692793732,9.697252189
0.674098792,-0.232167206,-0.144000549,9.725575562,9.729411995
0.684151792,-0.234412537,-0.130528564,9.766290894,9.769975679
0.694203792,-0.268092499,-0.117805023,9.834249573,9.838608452
0.704255792,-0.278570709,-0.137863312,9.869127045,9.874020283
0.714307792,-0.21061203,-0.160166931,9.90011261,9.903647841
0.724359792,-0.125289459,-0.18022522,9.958491211,9.960909887
0.734411792,-0.087867279,-0.237406311,10.02974304,10.03293715
0.744463792,-0.017812958,-0.261356506,10.02225861,10.02568163
0.754515792,0.054486694,-0.266146545,9.860894165,9.864635651
0.764567792,0.101638641,-0.257314911,9.641151123,9.645119821
0.774619792,0.113613739,-0.245040436,9.430688782,9.434555835
0.784671792,0.082029419,-0.236059113,9.322763214,9.326112088
0.794723792,0.114811249,-0.258213043,9.242380371,9.246699439
0.804775792,0.178728333,-0.269439697,9.218879242,9.224547471
0.814827792,0.211659851,-0.282911682,9.258247375,9.26498696
0.824879792,0.206271057,-0.303868103,9.296717377,9.303968914
0.834931792,0.199535065,-0.33814682,9.249266052,9.257595801
0.844983792,0.188757477,-0.352516937,9.238638153,9.247287846
0.855035792,0.16495697,-0.350870361,9.252259827,9.260379728
0.865087792,0.232316895,-0.351169739,9.292077026,9.301612053
0.875139792,0.293240204,-0.353714447,9.356592865,9.367867087
0.885191792,0.321681061,-0.387843475,9.433682556,9.447130138
0.895243792,0.35805542,-0.398621063,9.546248474,9.561274097
0.905295792,0.316142578,-0.400716705,9.68710556,9.700542982
0.915347792,0.231867828,-0.388292542,9.923164673,9.933465202
0.925399792,-0.20941452,-0.33111145,10.1590741,10.16662558
0.935451792,-0.618064728,-0.106129303,10.23676254,10.25595314
0.945503792,-0.106728058,-0.035476227,10.02195923,10.02259029
0.955555792,0.114511871,-0.234861603,9.843081207,9.846548664
0.965607792,0.061821442,-0.289647675,9.821226654,9.825691358
0.975660792,0.089813232,-0.236957245,9.912387085,9.915625693
0.985711792,-0.052241364,-0.255818024,10.04575974,10.04915224
0.995764792,-0.200732574,-0.271086273,10.08961853,10.09525549
1.005816542,-0.23516098,-0.259560242,10.00220032,10.0083307
1.015868542,-0.213456116,-0.218096466,9.863438873,9.868158693
1.025920542,-0.159867554,-0.240250397,9.759854279,9.764119695
1.035972542,-0.154029694,-0.254021759,9.710007935,9.714551265
1.046024542,-0.277971954,-0.24099884,9.783505096,9.790419849
1.056076542,-0.391286316,-0.239651642,9.898615723,9.90924473
1.066128542,-0.420774994,-0.220192108,9.776769104,9.788296597
1.076180542,-0.25506958,-0.201780396,9.627978516,9.633470097
1.086232542,-0.05613327,-0.262703705,9.555828552,9.559603731
1.096284542,0.076191559,-0.344733124,9.575288086,9.581794613
1.106336542,0.186212769,-0.370778961,9.582772522,9.591750697
1.116388542,0.219293976,-0.409398651,9.652228088,9.663395065
1.126440542,0.229921875,-0.438288574,9.714797974,9.727397422
1.136492542,0.246687012,-0.466280365,9.719288635,9.733593552
1.146544542,0.253572693,-0.529748383,9.764494629,9.78214127
1.156596542,0.174686737,-0.575253754,9.843081207,9.861423832
1.166648542,0.014819183,-0.567919006,9.88723938,9.903547554
1.176700542,-0.089962921,-0.532592468,9.832902374,9.847726497
