"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.154916641E-3,-4.309089203E0,3.796854401E0,7.017856293E0,9.068332815E0
1.217591669E-2,-4.074227600E0,3.961811371E0,7.342830505E0,9.285065412E0
2.219591662E-2,-3.923491058E0,4.095483398E0,7.759713593E0,9.611447414E0
3.221691668E-2,-3.851341095E0,4.104464722E0,8.148155823E0,9.903125880E0
4.223791661E-2,-3.830684052E0,3.963308258E0,8.458909607E0,1.009629162E1
5.225791666E-2,-3.764371948E0,3.727249146E0,8.655450897E0,1.014789203E1
6.227891659E-2,-3.659140778E0,3.470383301E0,8.787476349E0,1.013176254E1
7.229991665E-2,-3.569776611E0,3.353326721E0,8.840316467E0,1.010639898E1
8.231991669E-2,-3.379073181E0,3.315305786E0,8.787775726E0,9.981702772E0
9.234091663E-2,-3.035836945E0,3.168910217E0,8.727002106E0,9.768257965E0
1.023619167E-1,-2.928210754E0,3.075953522E0,8.653055878E0,9.639049969E0
1.123819166E-1,-2.978506165E0,3.121159515E0,8.595874786E0,9.617806353E0
1.224029167E-1,-2.958747253E0,3.235821075E0,8.488098907E0,9.553666647E0
1.324239166E-1,-2.788700867E0,3.293750610E0,8.513695679E0,9.545085632E0
1.424439166E-1,-2.611170044E0,3.395089874E0,8.808881836E0,9.794960105E0
1.524649167E-1,-2.608625336E0,3.105741577E0,9.601184235E0,1.042272976E1
1.624859166E-1,-2.360291748E0,2.852318573E0,1.040186920E1,1.104108605E1
1.725059167E-1,-2.018702087E0,3.232078857E0,1.170925049E1,1.231373375E1
1.825269166E-1,-1.017733612E0,4.013304291E0,1.139685013E1,1.212561693E1
1.925479167E-1,-8.173004150E-1,4.345164185E0,1.012943573E1,1.105232555E1
2.025679166E-1,-9.325607300E-1,4.124223633E0,8.788374481E0,9.752662001E0
2.125889166E-1,-1.278641052E0,3.781436462E0,7.589218140E0,8.574987850E0
2.226089167E-1,-1.681004333E0,3.420237579E0,7.092101898E0,8.051193079E0
2.326299166E-1,-1.723815308E0,3.065625000E0,7.065157928E0,7.892151317E0
2.426509167E-1,-1.235830078E0,2.951562195E0,7.192543030E0,7.872208750E0
2.526709166E-1,-7.677534485E-1,2.972518616E0,7.507188721E0,8.110683989E0
2.626919167E-1,-5.050497437E-1,3.065325623E0,8.029602356E0,8.609634743E0
